0, ;
1, 0;
2, 0 1;
3, 0 2;
4, 0 3;
5, 0 4;
6, 0 5;
7, 0 6;
8, 0 1 2;
9, 0 1 3;
10, 0 2 3;
11, 0 1 4;
12, 0 3 4;
13, 0 1 5;
14, 0 4 5;
15, 0 1 6;
16, 0 5 6;
17, 0 2 4;
18, 0 2 5;
19, 0 3 5;
20, 0 2 6;
21, 0 4 6;
22, 0 2 7;
23, 0 3 6;
24, 0 3 7;
25, 0 4 7;
26, 0 4 8;
27, 0 1 2 3;
28, 0 1 2 4;
29, 0 2 3 4;
30, 0 1 3 4;
31, 0 1 2 5;
32, 0 3 4 5;
33, 0 1 2 6;
34, 0 4 5 6;
35, 0 1 2 7;
36, 0 1 4 5;
37, 0 1 5 6;
38, 0 1 6 7;
39, 0 2 3 5;
40, 0 1 3 5;
41, 0 2 4 5;
42, 0 2 3 6;
43, 0 3 4 6;
44, 0 1 3 6;
45, 0 3 5 6;
46, 0 2 3 7;
47, 0 4 5 7;
48, 0 1 5 7;
49, 0 2 6 7;
50, 0 3 4 7;
51, 0 1 4 7;
52, 0 3 6 7;
53, 0 1 4 8;
54, 0 3 4 8;
55, 0 1 5 8;
56, 0 2 4 6;
57, 0 2 4 7;
58, 0 3 5 7;
59, 0 2 5 7;
60, 0 2 4 8;
61, 0 2 6 8;
62, 0 3 5 8;
63, 0 2 5 8;
64, 0 3 6 8;
65, 0 3 6 9;
66, 0 1 4 6;
67, 0 2 5 6;
68, 0 1 3 7;
69, 0 4 6 7;
70, 0 1 2 3 4;
71, 0 1 2 3 5;
72, 0 2 3 4 5;
73, 0 1 2 4 5;
74, 0 1 3 4 5;
75, 0 1 2 3 6;
76, 0 3 4 5 6;
77, 0 1 2 3 7;
78, 0 4 5 6 7;
79, 0 1 2 5 6;
80, 0 1 4 5 6;
81, 0 1 2 6 7;
82, 0 1 5 6 7;
83, 0 2 3 4 6;
84, 0 1 2 4 6;
85, 0 2 4 5 6;
86, 0 1 3 4 6;
87, 0 2 3 5 6;
88, 0 2 3 4 7;
89, 0 3 4 5 7;
90, 0 1 2 4 8;
91, 0 2 3 4 8;
92, 0 1 2 5 7;
93, 0 2 5 6 7;
94, 0 1 2 6 8;
95, 0 1 3 4 7;
96, 0 3 4 6 7;
97, 0 1 3 6 7;
98, 0 1 4 6 7;
99, 0 1 5 6 8;
100, 0 2 3 7 8;
101, 0 1 4 5 8;
102, 0 3 4 7 8;
103, 0 1 4 7 8;
104, 0 2 3 5 7;
105, 0 2 4 5 7;
106, 0 1 3 5 7;
107, 0 2 4 6 7;
108, 0 2 3 5 8;
109, 0 3 5 6 8;
110, 0 2 4 5 8;
