293, 0 1 2 3 6 7 8 9;
294, 0 2 3 4 5 6 7 9;
295, 0 1 2 3 4 5 7 9;
296, 0 2 4 5 6 7 8 9;
297, 0 1 3 4 5 6 7 9;
298, 0 2 3 4 5 6 8 9;
299, 0 1 2 3 4 6 7 9;
300, 0 2 3 5 6 7 8 9;
301, 0 1 2 4 5 6 7 9;
302, 0 2 3 4 5 7 8 9;
303, 0 1 2 3 5 7 8 9;
304, 0 1 2 4 6 7 8 9;
305, 0 1 3 4 5 6 8 9;
306, 0 1 2 3 5 6 8 9;
307, 0 1 3 4 6 7 8 9;
308, 0 1 2 4 5 6 8 9;
309, 0 1 3 4 5 7 8 9;
310, 0 1 2 4 5 7 8 9;
311, 0 1 2 3 4 6 8 T;
312, 0 1 2 3 5 6 8 T;
313, 0 1 2 3 5 7 9 T;
314, 0 1 2 3 5 7 8 T;
315, 0 1 2 4 5 6 8 T;
316, 0 1 2 4 6 7 8 T;
317, 0 1 3 4 5 7 8 T;
318, 0 1 2 4 5 7 8 T;
319, 0 1 2 4 6 7 9 T;
320, 0 1 3 4 6 7 9 T;
321, 0 1 2 3 4 6 8 9;
322, 0 1 3 5 6 7 8 9;
323, 0 1 2 3 5 6 7 9;
324, 0 2 3 4 6 7 8 9;
325, 0 1 2 3 4 5 6 7 8;
326, 0 1 2 3 4 5 6 7 9;
327, 0 2 3 4 5 6 7 8 9;
328, 0 1 2 3 4 5 6 8 9;
329, 0 1 3 4 5 6 7 8 9;
330, 0 1 2 3 4 5 7 8 9;
331, 0 1 2 4 5 6 7 8 9;
332, 0 1 2 3 4 6 7 8 9;
333, 0 1 2 3 5 6 7 8 9;
334, 0 1 2 3 4 5 6 8 T;
335, 0 1 2 3 4 5 7 8 T;
336, 0 1 2 3 4 5 7 9 T;
337, 0 1 2 3 4 6 7 8 T;
338, 0 1 2 3 4 6 8 9 T;
339, 0 1 2 3 5 6 7 8 T;
340, 0 1 2 3 4 6 7 9 T;
341, 0 1 2 3 5 6 7 9 T;
342, 0 1 2 3 5 6 8 9 T;
343, 0 1 2 4 5 6 8 9 T;
344, 0 1 2 3 4 5 6 7 8 9;
345, 0 1 2 3 4 5 6 7 8 T;
346, 0 1 2 3 4 5 6 7 9 T;
347, 0 1 2 3 4 5 6 8 9 T;
348, 0 1 2 3 4 5 7 8 9 T;
349, 0 1 2 3 4 6 7 8 9 T;
350, 0 1 2 3 4 5 6 7 8 9 T;
351, 0 1 2 3 4 5 6 7 8 9 T E;
